miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	4	0.783791	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.391896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	1.175687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	98	19.202884	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	229	44.872046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	162	31.743544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	377	73.872320	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9064	1776.070855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	24798	4859.113532	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	61387	12028.647568	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1292	253.164557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.195948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.587843	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	2.547321	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.587843	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.391896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.391896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	1.371635	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	18	3.527060	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	34	6.662225	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.195948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.587843	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.195948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	3.135165	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	61	11.952816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	926	181.447662	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15086	2956.068503	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	13422	2630.011365	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	36077	7069.208763	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6740	1320.688169	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	1.567582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.587843	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.391896	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	10	1.959478	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.195948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.195948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	0.783791	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.391896	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	0.783791	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.391896	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	51	9.993338	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	220	43.108516	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.195948	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.195948	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.391896	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	7	1.371635	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	0.783791	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.391896	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	1.567582	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	85	16.655563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	142	27.824588	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	142	27.824588	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.391896	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1007	197.319434	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5130	1005.212211	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	6385	1251.126700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	47092	9227.573774	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1844	361.327742	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	11	2.155426	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.587843	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.587843	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.195948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539883:+	1	0.195948	N	stemloop
hsa-let-7c	hg38:chr21:16539868-16539892:+	1	0.195948	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539902:+	1	0.195948	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.391896	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	18	3.527060	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	120	23.513736	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	0.979739	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	3	0.587843	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539907:+	1	0.195948	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.195948	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.195948	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.391896	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.195948	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	221	43.304464	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	383	75.048007	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1168	228.867030	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	57	11.169025	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.391896	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.391896	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	2.547321	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.195948	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.195948	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.391896	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	67	13.128503	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	243	47.615315	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1504	294.705490	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.391896	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	0.587843	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	0.979739	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	59	11.560920	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	3	0.587843	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.195948	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692792-51692814:+	1	0.195948	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692792-51692815:+	1	0.195948	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692810:+	9	1.763530	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	98	19.202884	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	109	21.358310	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	2102	411.882275	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	7455	1460.790845	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	21745	4260.884900	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	1017	199.278912	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	111	21.750206	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.195948	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	2	0.391896	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.195948	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692816:+	1	0.195948	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.195948	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.195948	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.195948	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	3	0.587843	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.195948	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	0.979739	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	23	4.506799	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	142	27.824588	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	5	0.979739	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.195948	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	7	1.371635	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	95	18.615041	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	102	19.986676	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	2401	470.470667	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	11940	2339.616726	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	41226	8078.143982	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	207	40.561194	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	17	3.331113	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.195948	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.391896	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	2	0.391896	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	0.587843	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.195948	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.195948	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	11	2.155426	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.195948	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557224-53557246:-	1	0.195948	N	stemloop
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	10	1.959478	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	925	181.251715	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.391896	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	5	0.979739	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	41472	8126.347141	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	25	4.898695	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	1	0.195948	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.195948	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	11828	2317.670573	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	15	2.939217	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	2503	490.457342	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	6	1.175687	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	95	18.615041	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	85	16.655563	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	12	2.351374	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	1	0.195948	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	5	0.979739	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	4	0.783791	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	243	47.615315	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	8	1.567582	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268303:-	2	0.391896	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	4	0.783791	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268312-52268336:-	1	0.195948	N	stemloop
hsa-let-7g	hg38:chr3:52268335-52268358:-	161	31.547596	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	2	0.391896	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	2	0.391896	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	5997	1175.098954	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	43	8.425755	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	1624	318.219226	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	9	1.763530	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268355:-	1	0.195948	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	184	36.054395	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	2	0.391896	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	41	8.033860	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	7	1.371635	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	2	0.391896	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603670-62603691:+	1	0.195948	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603708:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603709:+	2	0.391896	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	34	6.662225	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	757	148.332484	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	480	94.054944	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	590	115.609202	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603716:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	2	0.391896	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	3	0.587843	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603713:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603703-62603726:+	1	0.195948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603765:+	2	0.391896	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603766:+	2	0.391896	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	36	7.054121	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	77	15.087981	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	105	20.574519	N	mature,MIMAT0004585
hsa-mir-100	hg38:chr11:122152273-122152297:-	3	0.587843	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152296:-	1	0.195948	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	39	7.641964	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	1	0.195948	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	43	8.425755	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	9024	1768.232943	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152298:-	1	0.195948	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152293:-	2	0.391896	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152294:-	4	0.783791	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	5	0.979739	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	255	49.966689	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	66720	13073.637183	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	28	5.486538	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152295:-	1	0.195948	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152296:-	8	1.567582	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	1525	298.820394	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152298:-	3	0.587843	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152300:-	1	0.195948	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	194	38.013873	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	49	9.601442	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	4	0.783791	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058439-65058461:-	1	0.195948	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058439-65058463:-	3	0.587843	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	7	1.371635	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058459:-	1	0.195948	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058460:-	2	0.391896	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058461:-	2	0.391896	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058462:-	3	0.587843	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	6962	1364.188580	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	18	3.527060	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058459:-	5	0.979739	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058461:-	1	0.195948	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058462:-	1	0.195948	N	mature,MIMAT0000099
